Date,Time,Labels,Text (Click to drill to Message Detail),Engagement,Clicks,Replies,Likes,Retweets,Retweet Audience
6/18/2015,7:25 PM,"Housing Recovery Solutions, The Home Story",Can you guess which generation makes up 27% of homebuyers and home sellers? Find out: http://www.thehomestory.com/generation-x-is-getting-serious-about-homeownership/,30,24,1,0,5,87
,,,,,,,,,
6/19/2015,10:40 AM,business support,"Lenders are tapping new digital, social channels to reach borrowers: http://housingindustryforum.com/content/lenders-tapping-new-channels-reach-borrowers#.VYAoT_n4-Cc",41,32,1,3,5,1025
,,,,,,,,,
6/19/2015,12:45 PM,Housing Recovery Solutions,"Don't let terms like ""LTV"" and ""escrow"" trip you up. Use this home mortgage glossary to stay informed: http://www.knowyouroptions.com/find-resources/information-and-tools/glossary",32,18,0,6,8,2065
,,,,,,,,,
6/19/2015,4:35 PM,"Housing Recovery Solutions, The Home Story",10 home styles you should know if you're thinking about buying a home: http://www.thehomestory.com/ten-home-styles-you-should-know-about/,36,28,0,1,7,1173
,,,,,,,,,
6/20/2015,11:20 AM,"Mortgage Lender Sentiment Survey, positioning and reputation","ICYMI: Lenders say mortgage demand, optimism increase. Our Q2 2015 Mortgage Lender Sentiment Survey: http://fanniemae.com/portal/research-and-analysis/mortgage-lender-survey.html",22,16,0,2,4,3782
,,,,,,,,,
6/21/2015,9:45 AM,"Access to Credit, HomePath Ready Buyer","Now available: Closing cost assistance, educational program for first time homebuyers on HomePath properties. https://www.homepath.com/ready_buyer.html",21,15,0,1,5,122
,,,,,,,,,
6/21/2015,9:00 PM,Housing Recovery Solutions,How much home can you afford? Here's a handy #mortgage #calculator to help you find out. http://www.knowyouroptions.com/find-resources/information-and-tools/financial-calculators/mortgage-calculator,110,86,3,5,16,8728
,,,,,,,,,
6/22/2015,9:55 AM,"Access to Credit, HARP refi",Thousands of #homeowners are eligible to save money on their mortgage through HARP. Are you one of them? Find out: http://harp.gov/Eligibility,22,13,0,2,7,455
,,,,,,,,,
6/22/2015,10:05 AM,positioning and reputation,@NAWRB @HUDSouthwest @JasonReevesATC @RachaelFairDunn @RamonaEmmond @mikeclovergroup @mrtgbanking @DreamRealtor Thx for retweeting!,1,,0,1,0,0
,,,,,,,,,
6/22/2015,8:35 PM,"Housing Recovery Solutions, The Home Story","When it came to buying a home, the Roemmeles learned it's best to let the pros do the work: http://www.thehomestory.com/my-home-story-a-home-thats-worth-the-hassle/",12,8,0,2,2,47
,,,,,,,,,
6/23/2015,8:13 AM,​,"We're eliminating Desktop Underwriter fee + further enhancing our tools to give lenders greater certainty, efficiency http://www.fanniemae.com/portal/about-us/media/corporate-news/2015/6263.html",74,53,0,11,10,2589
,,,,,,,,,
6/23/2015,10:05 AM,"Economic & Housing Outlook, positioning and reputation",Econ. rebound on the horizon w/ Q1 slump in rearview mirror. June Econ. + Housing Outlook: http://fanniemae.com/portal/about-us/media/financial-news/2015/6264.html,47,27,0,3,17,7217
,,,,,,,,,
6/23/2015,1:30 PM,Organization,"Proud to have one of our own, Michael Ruiz, serve as chair of @FiveStarInst's American Mortgage Diversity Council. http://dsnews.com/news/06-23-2015/five-star-partners-with-industry-to-launch-mortgage-diversity-council",18,13,1,0,4,7600
,,,,,,,,,
6/23/2015,4:35 PM,"Housing Recovery Solutions, The Home Story",Even Bob Vila says some home improvement jobs are better left to the pros. Learn more: http://www.thehomestory.com/old-houses-innovative-thinking-an-interview-with-bob-vila/,13,9,0,2,2,1649
,,,,,,,,,
6/23/2015,9:15 PM,"Housing Recovery Solutions, The Home Story","When it came to buying a home, the Roemmeles learned it's best to let the pros do the work: http://www.thehomestory.com/my-home-story-a-home-thats-worth-the-hassle/",13,8,1,3,1,1307
,,,,,,,,,
6/24/2015,11:00 AM,positioning and reputation,@ShanTheRealtor @RamonaEmmond @CatlinImee @LegacyMutual_ @PiedmontHousing @martindeciria @NorthernOhioREO Appreciate your RTs!,5,,1,4,0,0
,,,,,,,,,
6/24/2015,11:35 AM,Housing Recovery Solutions,5 things to consider when looking for a rental property: http://www.knowyouroptions.com/rent/rental-process/get-started,39,27,0,3,9,589
,,,,,,,,,
6/24/2015,5:20 PM,"Economic & Housing Outlook, positioning and reputation",Chief Econ. Doug Duncan continues to expect housing growth. Find out why in our June Econ. + Housing Outlook: http://fanniemae.com/portal/about-us/media/financial-news/2015/6264.html,16,13,0,0,3,309
,,,,,,,,,
6/24/2015,7:20 PM,"Housing Recovery Solutions, The Home Story",What's @BobVila been up to lately? Find out in this interview with the original #DIY: http://www.thehomestory.com/old-houses-innovative-thinking-an-interview-with-bob-vila/,60,38,0,10,12,1091747
,,,,,,,,,
6/25/2015,9:03 AM,positioning and reputation,Chief Econ. Doug Duncan talks credit + housing's comeback with @SquawkCNBC's @steveliesman: http://video.cnbc.com/gallery/?video=3000391195,16,12,0,0,4,27829
,,,,,,,,,
6/25/2015,2:50 PM,positioning and reputation,@HoustonHCDD @prashantString @BarryCameronDB @Equitysourcemtg @RelolaWorld @LiveLoveOwn @KWUKWestYorks @SeanTBogue Thx for retweeting!,2,,0,2,0,0
,,,,,,,,,
6/25/2015,3:20 PM,"Housing Recovery Solutions, The Home Story",Interested in house #flipping? Bob Vila has some advice for you: http://www.thehomestory.com/old-houses-innovative-thinking-an-interview-with-bob-vila/,29,23,0,2,4,28454
,,,,,,,,,
6/26/2015,9:55 AM,"Housing Recovery Solutions, The Home Story",Should you rent or buy a #home? Here's a short quiz to help you find out: http://www.thehomestory.com/the-battle-between-renting-vs-buying-2/,70,56,1,3,10,2363
,,,,,,,,,
6/26/2015,3:40 PM,"HARP refi, Housing Recovery Solutions",Saving on your mortgage through HARP can start w/ a three-step process if you qualify: http://harp.gov/GetStarted.,21,15,0,1,5,987
,,,,,,,,,
6/27/2015,11:10 AM,"Access to Credit, HARP refi",You may qualify for a #HARPrefi. Take this 30-second quiz to find out: http://www.knowyouroptions.com/refinance/home-affordable-refinance-program-quiz,21,16,0,1,4,787
,,,,,,,,,
6/28/2015,9:45 AM,"Economic & Housing Outlook, positioning and reputation","ICYMI: Q1 econ. slump in rearview mirror, growth expected to continue. Details in our June Econ. + Housing Outlook: http://fanniemae.com/portal/about-us/media/financial-news/2015/6264.html",7,6,0,0,1,21
,,,,,,,,,
6/29/2015,10:10 AM,"Housing Recovery Solutions, The Home Story",This interactive tool can educate you on the pros and cons of renting and buying. http://www.thehomestory.com/the-battle-between-renting-vs-buying-2/,36,22,0,2,12,38140
,,,,,,,,,
6/29/2015,12:10 PM,positioning and reputation,@mortgage_dan @orlandohomeloan @oregonhousing @ronfeir @camnflfan @LisaMartinNC @cyby9 @LorenSan @Devlinsales Appreciate your RTs!,6,,0,3,3,35995
,,,,,,,,,
6/29/2015,3:30 PM,positioning and reputation,"Even with a strong house-buying market, apartment occupancy and rents rise: http://housingindustryforum.com/content/even-strong-house-buying-market-apartment-occupancy-and-rents-rise#.VZF7ofn4-Cc",14,9,0,1,4,723
,,,,,,,,,
6/29/2015,9:05 PM,Housing Recovery Solutions,"Homebuyers, this #calculator can help you figure out what your monthly mortgage payment may look like. http://www.knowyouroptions.com/find-resources/information-and-tools/financial-calculators/mortgage-calculator",43,31,0,0,12,8996
,,,,,,,,,
6/30/2015,9:40 AM,"Housing Recovery Solutions, The Home Story",Going house shopping? Knowing these 10 home styles can help you target your search: http://www.thehomestory.com/ten-home-styles-you-should-know-about/,39,31,1,1,6,1526
,,,,,,,,,
6/30/2015,4:35 PM,business support,Facing the mortgage lending crisis head on: http://housingindustryforum.com/content/facing-mortgage-lending-challenge-head#.VZKYovn48gs,32,27,0,1,4,1348
,,,,,,,,,
7/1/2015,12:33 PM,"FM Commentary, positioning and reputation","Contrary to what you may have heard, Millennials DO want single-family homes. Find out more: http://fanniemae.com/portal/about-us/media/commentary/070115-simmons.html",28,21,0,1,6,10403
,,,,,,,,,
7/1/2015,2:30 PM,"Housing Recovery Solutions, The Home Story","For the Roemmele family, their nail-biting homebuying story has a happy ending. http://www.thehomestory.com/my-home-story-a-home-thats-worth-the-hassle/",13,10,0,0,3,322
,,,,,,,,,
7/1/2015,7:45 PM,"FM Commentary, positioning and reputation",Our Economics + Strategic Research Group finds Millennials' desire for single-family homes is substantial. http://fanniemae.com/portal/about-us/media/commentary/070115-simmons.html,34,26,0,0,8,5645
,,,,,,,,,
7/2/2015,11:27 AM,"Jobs Report, positioning and reputation","Chief Econ. Duncan: June #jobsreport indicates growth. Home building should go up, may put wage pressure on builders hiring skilled workers.",7,,0,2,5,1069
,,,,,,,,,
7/2/2015,12:50 PM,business support,Facing the mortgage lending crisis head on: http://housingindustryforum.com/content/facing-mortgage-lending-challenge-head#.VZKYovn48gs,50,42,2,0,6,1034
,,,,,,,,,
7/6/2015,10:10 AM,"Housing Recovery Solutions, The Home Story","Do you know what to look for when examining a ""staged home?"" Here are 5 things you should consider: http://www.thehomestory.com/5-ways-to-examine-a-staged-home/",62,49,0,5,8,2519
,,,,,,,,,
7/6/2015,11:25 AM,positioning and reputation,@ChristaVivolo @KristenMParker1 @BrianACovey @stevenblackwood @breinhardtlaw @Danny_Ewan @FMBNigeria @jeanne7303 @NWSNH Thx for the RTs!,7,,1,4,2,8724
,,,,,,,,,
7/6/2015,3:48 PM,"FM Commentary, positioning and reputation","ICYMI: Contrary to popular belief, Millennial renters and buyers prefer single-family homes. Learn more: http://fanniemae.com/portal/about-us/media/commentary/070115-simmons.html",21,14,0,2,5,903
,,,,,,,,,
7/6/2015,7:15 PM,positioning and reputation,Let's continue the discussion! Join us on Facebook + LinkedIn: http://fanniemae.com/portal/stay-connected.html,11,9,0,0,2,27843
,,,,,,,,,
7/7/2015,9:34 AM,"HPSI, positioning and reputation","For 1st time ever, majority of respondents say now's a good time to sell a home. Our June National Housing Survey: http://fanniemae.com/portal/research-and-analysis/housing-survey.html",346,251,0,16,79,443071
,,,,,,,,,
7/7/2015,10:45 AM,"Multifamily, positioning and reputation",Our #multifamily organization has received @MorningstarInc's highest commercial master servicer ranking: http://www.fanniemae.com/portal/about-us/media/corporate-news/2015/6265.html #newsrelease,9,8,0,0,1,297
,,,,,,,,,
7/7/2015,12:15 PM,positioning and reputation,@NYMortgageC @GFWAR @marquaz @RKHomeowner @PCMdirect @GZajdelhomes @MindyFrostHomes @NARSocial @InspectKansas Thx for retweeting!,4,,0,2,2,521
,,,,,,,,,
7/7/2015,1:10 PM,"Housing Recovery Solutions, The Home Story","Here are 5 tips for examining a ""staged home"" when you're home shopping: http://www.thehomestory.com/5-ways-to-examine-a-staged-home/",47,37,1,4,5,2590
,,,,,,,,,
7/7/2015,8:05 PM,"HPSI, positioning and reputation",Our June National Housing Survey may indicate an increase in home buying as Q3 kicks off. http://fanniemae.com/portal/research-and-analysis/housing-survey.html,21,17,0,0,4,2793
,,,,,,,,,
7/8/2015,9:47 AM,positioning and reputation,"Fannie, Freddie, Common Securitization Solutions form industry advisory group focused on #singlesecurity: http://fanniemae.com/portal/about-us/media/corporate-news/2015/6269.html",28,25,2,1,0,22
,,,,,,,,,
7/8/2015,10:45 AM,positioning and reputation,@REALTORS @ReiFax @NEFARScoop @allyblank1 @jennissen_matt @listwithteammel @e_lloyd1 @Edgar_Dillon @LTZRealty Appreciate your RTs!,2,,0,2,0,0
,,,,,,,,,
7/8/2015,2:20 PM,"Multifamily, positioning and reputation",Congrats to our #multifamily biz on earning @MorningstarInc's highest commercial mortgage master servicer ranking. http://www.fanniemae.com/portal/about-us/media/corporate-news/2015/6265.html,13,10,0,1,2,12213
,,,,,,,,,
7/8/2015,6:15 PM,positioning and reputation,"Fannie, Freddie, Common Securitization Solutions form industry advisory group focused on #singlesecurity: http://fanniemae.com/portal/about-us/media/corporate-news/2015/6269.html",44,38,1,2,3,5170
,,,,,,,,,
7/9/2015,8:40 AM,"Housing Recovery Solutions, The Home Story",Should you rent or buy a #home? Here's a short quiz to help you find out: http://www.thehomestory.com/the-battle-between-renting-vs-buying-2/,48,36,0,2,10,2300
,,,,,,,,,
7/9/2015,1:20 PM,positioning and reputation,@KimChipman1 @VinceLeibowitz @danielacuna094 @orotribe @ScottOliverTeam @Stringrealest @TahitianaC @tsimon872 Thx for retweeting!,0,,0,0,0,0
,,,,,,,,,
7/9/2015,3:25 PM,"HPSI, positioning and reputation","ICYMI: Home buying may be heating up, according to our June National Housing Survey results. Details here: http://fanniemae.com/portal/research-and-analysis/housing-survey.html",19,15,0,1,3,288
,,,,,,,,,
7/10/2015,9:55 AM,positioning and reputation,@Mymimicake @realestatebudy @JacobJmyles @MacTeamMortgage @abacoahomes @BallenIslesInfo @JoelfreisPA @cclarkerealty Appreciate your RTs!,4,,1,3,0,0
,,,,,,,,,
7/10/2015,10:25 AM,"Housing Recovery Solutions, The Home Story",PJ Allen decided enough was enough. Here's how this grandmother went from renter to #homeowner: https://www.thehomestory.com/my-home-story-serious-about-homeownership/,10,8,0,0,2,8
,,,,,,,,,
7/10/2015,4:15 PM,business support,Now available: A new financing option for providing #multifamily #affordablehousing. http://housingindustryforum.com/content/pass-through-execution-offers-improved-interest-rates-multifamily-deals#.VZ0eAvn4-Cc,53,43,0,1,9,1763
,,,,,,,,,
7/11/2015,11:35 AM,"Housing Recovery Solutions, The Home Story","What are discount mortgage points, and what can they mean for you? Find out: https://www.thehomestory.com/what-you-should-know-about-mortgage-discount-points/",41,33,1,1,6,2377
,,,,,,,,,
7/12/2015,10:05 AM,"FM Commentary, positioning and reputation",Tap into FM Commentary for important insights on the housing industry:  http://fanniemae.com/portal/about-us/media/commentary/index.html,42,31,0,1,10,2256
,,,,,,,,,
7/13/2015,9:20 AM,"Mobile, The Home Story",HOME by Fannie Mae is here! Download our new #mobileapp for resources to help w/ homebuying: www.knowyouroptions.com/homeapp,104,80,3,6,15,9829
,,,,,,,,,
7/13/2015,11:45 AM,positioning and reputation,@SIFMA @DavidLVRealtor @MsVHouse @GailRanieri @cclarkerealty @TheNRLA @ltholmes @CaryMortgageGuy @RealtorMaier Thanks for your RTs!,3,,1,2,0,0
,,,,,,,,,
7/13/2015,3:35 PM,business support,Here's a new funding structure for #multifamily #affordablehousing. Learn about Pass-Through Execution: http://housingindustryforum.com/content/pass-through-execution-offers-improved-interest-rates-multifamily-deals#.VZ0eAvn4-Cc,20,15,0,1,4,1635
,,,,,,,,,
7/13/2015,8:45 PM,"Housing Recovery Solutions, The Home Story",Want to increase your #creditscore? Know the 5 factors that go into determining one: https://www.thehomestory.com/anatomy-of-your-credit-score/,63,50,0,2,11,15245
,,,,,,,,,
7/14/2015,8:35 AM,Organization,Interested in joining our team? Follow us on LinkedIn to hear about our latest opportunities. https://www.linkedin.com/company/fannie-mae-corporation_19722,59,46,0,5,8,543
,,,,,,,,,
7/14/2015,11:07 AM,positioning and reputation,Fannie Mae's latest Credit Insurance Risk Transfer reduces U.S. taxpayer exposure to credit losses. http://fanniemae.com/portal/about-us/media/financial-news/2015/6270.html #newsrelease,24,18,0,1,5,1014
,,,,,,,,,
7/14/2015,4:35 PM,positioning and reputation,"Fannie Mae program helps handicapped, seniors' families purchase homes: http://www.mortgagenewsdaily.com/channels/community/07102015-fannie-mae-program.aspx Via @mortgagenewsmnd.",22,15,0,3,4,987
,,,,,,,,,
7/14/2015,6:20 PM,"Mobile, The Home Story","Just bought a home? Download the new HOME by Fannie Mae #mobileapp for helpful homeownership tips, tools: www.knowyouroptions.com/homeapp",29,25,0,1,3,301
,,,,,,,,,
7/15/2015,11:10 AM,positioning and reputation,@CCHBA @UtahLoanChick @squaresold @VivianLyons8 @taiby10 @RBHaleyInc @tannamrealty @Danny_Ewan @brendanfontaine Appreciate your RTs!,5,,0,4,1,234
,,,,,,,,,
7/15/2015,1:35 PM,"Housing Recovery Solutions, The Home Story",She saved. She took #homeownership courses. And she made owning a home a reality. Here's PJ Allen's story: https://www.thehomestory.com/my-home-story-serious-about-homeownership/,26,18,0,3,5,11353
,,,,,,,,,
7/15/2015,7:25 PM,"Housing Recovery Solutions, Mobile",Thinking about buying a home? Our HOME by Fannie Mae #mobileapp can help you get started and track your progress: www.knowyouroptions.com/homeapp,23,17,0,2,4,2377
